year,treated,cell,n,mass,share,factor
2022,1,2_TR5,839,116.76158109275953,0.026975275616716313,1.0
2022,1,2_TR6,912,123.97573388959245,0.028641951917382995,1.0
2022,1,2_TR7,534,44.16178237361529,0.010202638916882471,1.0
2022,1,2_TR8,582,46.77417041095656,0.010806175513985498,1.0
2022,1,2_TR9,350,28.611547020024116,0.006610088348089772,1.0
2022,1,2_TRA,334,14.374166848040108,0.0033208449976239044,1.0
2022,1,2_TRB,305,21.384531907735642,0.004940440483478554,1.0
2022,1,2_TRC,448,48.30749032371592,0.011160416411275369,1.0
2024,0,0_TR1,400,158.47382226380677,0.08431484592642959,0.9998486778146222
2024,0,0_TR2,336,37.37819654706602,0.019886797944630892,1.035377313946826
2024,0,0_TR3,732,114.64541182073278,0.060996258535027485,0.9294320673726951
2024,0,0_TR4,504,82.10448083399042,0.043683092592185335,1.0022274551135515
2024,0,0_TR5,459,66.24679874895506,0.03524612803456691,1.1653823360862001
2024,0,0_TR6,616,110.14747311497966,0.058603162921224576,1.00889233049725
2024,0,0_TR7,357,39.08177735851341,0.020793175739957242,1.1442377177443865
2024,0,0_TR8,459,45.325046416829416,0.024114861689153794,0.9832592216145803
2024,0,0_TR9,204,22.858946187090265,0.012161936263496312,1.130381642527916
2024,0,0_TRA,329,17.51969829141129,0.009321228206756266,1.2919280812803093
2024,0,0_TRB,431,40.35256603808254,0.02146928962547051,0.994758210274292
2024,0,0_TRC,667,110.35958489576694,0.05871601545333861,0.856711919664288
2024,0,1_TR1,245,93.09128761330473,0.049528543327129235,1.2269859196961643
2024,0,1_TR2,245,26.476232611305818,0.014086487228271997,0.9365275852812612
2024,0,1_TR3,430,64.76250915773012,0.03445642253995214,0.9997481045927714
2024,0,1_TR4,453,65.25781241035776,0.034719945037457366,0.9452891255285344
2024,0,1_TR5,383,60.757185151181645,0.03232541899833634,0.8716114887846961
2024,0,1_TR6,390,65.56053457159602,0.03488100616426499,1.0001751633377198
2024,0,1_TR7,262,26.051940393236087,0.013860745635854415,0.9929009051716463
2024,0,1_TR8,307,28.061625509614807,0.014929984002971214,0.9055982944054773
2024,0,1_TR9,168,17.20227168334778,0.009152343685833491,0.6593056519259779
2024,0,1_TRA,176,8.710433170918938,0.004634322692967713,1.1465182935415947
2024,0,1_TRB,202,17.525890703963075,0.0093245228348706,0.9196392320498821
2024,0,1_TRC,215,27.79498442800507,0.01478811955247442,1.081129261814099
2024,0,2_TR1,334,129.57618311372244,0.06894006693914076,0.981743440994887
2024,0,2_TR2,225,22.75800040393044,0.012108228792871446,1.073420446339586
2024,0,2_TR3,479,77.99608288683534,0.04149724930923479,0.8680863889868546
2024,0,2_TR4,358,54.903034608286426,0.029210760728577017,0.8966377026880366
2024,0,2_TR5,482,72.51766141283572,0.03858249496115458,0.9626903099162402
2024,0,2_TR6,384,64.10376448080602,0.03410594221994539,1.1151120702056825
2024,0,2_TR7,258,23.19079297053315,0.012338492933976507,1.0569482884177572
2024,0,2_TR8,294,24.034410537933216,0.012787333532379938,1.1722951736488956
2024,0,2_TR9,151,13.236361015014946,0.007042309724503113,0.9242797094693004
2024,0,2_TRA,166,9.853623488310049,0.005242548796803106,0.6967699869280475
2024,0,2_TRB,185,13.249536445014806,0.007049319616323627,1.126128962733293
2024,0,2_TRC,248,28.382302399015437,0.015100597812468228,1.1784543766226574
2024,1,0_TR1,1189,459.37323650180883,0.10483996853135343,1.0102937857117626
2024,1,0_TR2,1004,110.67146995117673,0.025257878572458602,0.9526511944882853
2024,1,0_TR3,2005,304.8856127082565,0.06958219483008596,1.0929410562485826
2024,1,0_TR4,1380,208.89213597533484,0.047674185655382804,1.1350235652707454
2024,1,0_TR5,1255,184.83711929653015,0.042184255047252706,1.031113882514975
2024,1,0_TR6,1701,307.6870681832125,0.07022155402757203,0.9667201108075103
2024,1,0_TR7,1017,110.15104283384515,0.02513910464688253,0.8760115295407503
2024,1,0_TR8,1256,127.09903469862988,0.029007042072459275,1.0055703819307682
2024,1,0_TR9,635,68.36289260439635,0.015602048486620935,1.038862498620966
2024,1,0_TRA,1002,49.09765400478021,0.011205259888500638,1.011364853977259
2024,1,0_TRB,1154,117.22179261923172,0.026752818999590762,0.9195790989318997
2024,1,0_TRC,1467,249.18659857607165,0.05687034654455208,0.977758554572413
2024,1,1_TR1,603,222.1774662477632,0.05070621603289597,1.0687411590657734
