Period,Component,Sample,2022 higher-exposure mean,coef,se_household,p_household,ci_low,ci_high,n,r2
2024 vs 2022,Status: employer,All,0.18507564787679287,0.2181854178602915,0.05878666349615596,0.00020605244624977595,0.10296567463655032,0.3334051610840327,179406,0.000731279949533481
2024 vs 2022,Status: employer,Men,0.3420080258345181,0.45707720245891875,0.10732096055221295,2.0536716656556765e-05,0.2467319849903375,0.6674224199275001,86778,0.001312494610254844
2024 vs 2022,Status: own-account worker,All,5.0605156736902766,1.29075390266101,0.26995249161094115,1.7406877750038425e-06,0.7616567415667143,1.8198510637553058,179406,0.0006966780373283132
2024 vs 2022,Status: own-account worker,Men,6.913237514598302,2.010989419417353,0.44298509193173763,5.635242045241345e-06,1.1427545935429826,2.8792242452917236,86778,0.001639310169260666
2024 vs 2022,Status: unpaid family worker,All,3.6506825577353776,0.31749040889994146,0.2052691313031758,0.121934846812957,-0.08482969559210657,0.7198105133919894,179406,0.00041616403769917376
2024 vs 2022,Status: unpaid family worker,Men,0.6341315957917061,0.14685224051389442,0.14633194166060196,0.3155928614042607,-0.1399530949287017,0.43365757595649057,86778,2.75252384928093e-05
2024 vs 2022,Narrow component: private non-agricultural wage employment,All,4.257259573230023,0.7526603255375912,0.26114928003649723,0.003950248095694611,0.24081714207749172,1.2645035089976906,179406,0.00011084667429162032
2024 vs 2022,Narrow component: private non-agricultural wage employment,Men,4.235284716427091,1.6719299483053633,0.36954346410707,6.059227007694546e-06,0.9476380679333359,2.396221828677391,86778,0.0004531026467209376
2025 vs 2022,Firm: 1-9,All,13.143255412683978,1.7139636706068675,0.40795240426662877,2.652911385069877e-05,0.9143916508377509,2.513535690375984,177596,0.0007514615489651044
2025 vs 2022,Firm: 1-9,Men,11.908516700391957,3.735092383395199,0.5745617585145943,7.991127657485886e-11,2.6089720298125942,4.861212736977803,85982,0.00207514439367662
2025 vs 2022,Firm: 10-49,All,0.8880637020083431,0.2174188576210979,0.13393848010434592,0.10453083657870224,-0.04509573952745469,0.47993345476965044,177596,4.178532758813969e-05
2025 vs 2022,Firm: 10-49,Men,1.0953230838380719,0.4143961038368076,0.2106318517198138,0.049137661940837296,0.0015652604689914695,0.8272269472046236,85982,0.00018488524056203826
2025 vs 2022,Firm: 50+ (known size),All,0.11561974695517833,0.12570001654031393,0.042255316899172786,0.002932045089026768,0.042881117262608556,0.2085189158180193,177596,0.00013730779886422795
2025 vs 2022,Firm: 50+ (known size),Men,0.13361314530436255,0.21167152830157612,0.06917642137053581,0.0022142590388147367,0.076088233835959,0.3472548227671932,85982,0.0003106442827039979
2025 vs 2022,Firm: 10+ (size unknown),All,0.007145326984854027,0.008202526532566999,0.009528404104629538,0.38932067089909217,-0.010472802342650515,0.026877855407784514,177596,5.006993237721691e-05
2025 vs 2022,Firm: 10+ (size unknown),Men,0.01430391399073009,0.00742569508786849,0.01681718319862185,0.6588119523963378,-0.025535378302842447,0.04038676847857943,85982,6.411907111580906e-05
2025 vs 2022,Sector: agriculture,All,6.544033416442052,-0.22771869906336473,0.2706789530720665,0.4001871413114515,-0.7582396984576225,0.30280230033089306,177596,0.0006619967565816287
2025 vs 2022,Sector: agriculture,Men,5.0243057196815,0.6360905245715331,0.34733296811281567,0.06704733423441207,-0.04466958357298456,1.3168506327160507,85982,0.0005461201589446185
2025 vs 2022,Sector: non-agriculture,All,7.610050772190302,2.2930037703642108,0.34691761658705306,3.8523161619708556e-11,1.6130577362511116,2.97294980447731,177596,0.0005743118209516895
2025 vs 2022,Sector: non-agriculture,Men,8.127451123843622,3.7324951860499183,0.5192660737351851,6.573739102687534e-13,2.714752383135435,4.750237988964401,85982,0.0019430601423717775
2025 vs 2022,Status: wage/casual employee,All,5.257810309329908,0.8293621565605265,0.2829559882282255,0.0033780300355335273,0.274778610423265,1.383945702697788,177596,0.00024328109156346311
2025 vs 2022,Status: wage/casual employee,Men,5.262379707300595,1.7754701062036509,0.41081095225543,1.5471477159730542e-05,0.9702954353284043,2.5806447770788976,85982,0.00041937933521463133
2025 vs 2022,Status: employer,All,0.18507564787679287,0.32770846615909033,0.060710164165825295,6.741880058013042e-08,0.20871873089855858,0.4466982014196221,177596,0.0011573466451606507
2025 vs 2022,Status: employer,Men,0.3420080258345181,0.6581348908195339,0.11767196713007691,2.2322761260228705e-08,0.4275020732546021,0.8887677083844657,85982,0.0022004597741912546
2025 vs 2022,Status: own-account worker,All,5.0605156736902766,1.0570860788737306,0.2713691364509447,9.804463786253067e-05,0.5252123449141435,1.5889598128333178,177596,0.0004519698528128169
2025 vs 2022,Status: own-account worker,Men,6.913237514598302,1.9276050926992627,0.4422991085859757,1.3116751655684819e-05,1.0607147694765797,2.7944954159219457,85982,0.0014199220011800184
2025 vs 2022,Status: unpaid family worker,All,3.6506825577353776,-0.14887163029250083,0.20734510396345873,0.4727636933066309,-0.5552605664315932,0.2575173058465915,177596,0.00033598449934690855
2025 vs 2022,Status: unpaid family worker,Men,0.6341315957917061,0.0073756208990036,0.1597630827589651,0.9631779495170666,-0.30575426736766004,0.3205055091656673,85982,2.626749112044635e-05
2025 vs 2022,Narrow component: private non-agricultural wage employment,All,4.257259573230023,0.9777474217193187,0.25847536461486453,0.00015510581635693528,0.4711450161833255,1.484349827255312,177596,0.00021803313373824906
2025 vs 2022,Narrow component: private non-agricultural wage employment,Men,4.235284716427091,1.7856963365056178,0.37195561312992476,1.5800794087976255e-06,1.0566767309234515,2.514715942087784,85982,0.0005091699348951373
